fecha_inicio,fecha_fin,dias_entre_fechas,dias_evaluados,dias_no_evaluados,hora_apertura,v_rango,v_espera,TP_Ticks,SL_ticks,Tipo_vela_rompimiento,duracion_vela,tick_size,dias_sin_entrada,TPs_alcanzados,SLs_alcanzados,Ticks_totales_TPs,Ticks_totales_SLs,Ticks_totales_estrategia,Margen_Utilidad_2,Absoluto_Ticks_totales,Margen_Utilidad
44938,45626,689,366,323,0.666666667,24,1,260,260,0,5,0.00001,332,17,17,4420,4420,0,0,0,0
44938,45626,689,366,323,0.666666667,24,6,85,85,0,5,0.00001,254,56,56,4760,4760,0,0,0,0
44938,45626,689,366,323,0.666666667,24,6,135,135,0,5,0.00001,254,56,56,7560,7560,0,0,0,0
44938,45626,689,366,323,0.666666667,24,24,260,260,0,5,0.00001,134,116,116,30160,30160,0,0,0,0
44938,45626,689,366,323,0.666666667,24,24,285,285,0,5,0.00001,134,116,116,33060,33060,0,0,0,0
44938,45626,689,366,323,0.666666667,24,24,310,310,0,5,0.00001,134,116,116,35960,35960,0,0,0,0
44938,45626,689,366,323,0.708333333,0,3,35,35,0,5,0.00001,244,61,61,2135,2135,0,0,0,0
44938,45626,689,366,323,0.708333333,0,6,60,185,1,5,0.00001,170,148,48,8880,8880,0,0,0,0
44938,45626,689,366,323,0.708333333,0,6,360,360,1,5,0.00001,170,98,98,35280,35280,0,0,0,0
44938,45626,689,366,323,0.708333333,0,12,60,60,0,5,0.00001,170,98,98,5880,5880,0,0,0,0
44938,45626,689,366,323,0.708333333,0,12,160,160,0,5,0.00001,170,98,98,15680,15680,0,0,0,0
44938,45626,689,366,323,0.708333333,0,12,210,210,0,5,0.00001,170,98,98,20580,20580,0,0,0,0
44938,45626,689,366,323,0.708333333,0,12,285,135,0,5,0.00001,170,63,133,17955,17955,0,0,0,0
44938,45626,689,366,323,0.708333333,0,18,110,110,0,5,0.00001,146,110,110,12100,12100,0,0,0,0
44938,45626,689,366,323,0.708333333,0,18,160,160,0,5,0.00001,146,110,110,17600,17600,0,0,0,0
44938,45626,689,366,323,0.708333333,0,18,185,185,0,5,0.00001,146,110,110,20350,20350,0,0,0,0
44938,45626,689,366,323,0.708333333,0,18,210,210,0,5,0.00001,146,110,110,23100,23100,0,0,0,0
44938,45626,689,366,323,0.708333333,0,18,260,260,0,5,0.00001,146,110,110,28600,28600,0,0,0,0
44938,45626,689,366,323,0.708333333,0,18,285,285,0,5,0.00001,146,110,110,31350,31350,0,0,0,0
44938,45626,689,366,323,0.708333333,0,24,160,260,0,5,0.00001,135,143,88,22880,22880,0,0,0,0
44938,45626,689,366,323,0.708333333,0,24,185,185,1,5,0.00001,128,119,119,22015,22015,0,0,0,0
44938,45626,689,366,323,0.708333333,0,24,235,235,1,5,0.00001,128,119,119,27965,27965,0,0,0,0
44938,45626,689,366,323,0.708333333,0,24,235,360,1,5,0.00001,128,144,94,33840,33840,0,0,0,0
44938,45626,689,366,323,0.708333333,0,24,260,160,0,5,0.00001,135,88,143,22880,22880,0,0,0,0
44938,45626,689,366,323,0.708333333,0,24,285,310,1,5,0.00001,128,124,114,35340,35340,0,0,0,0
44938,45626,689,366,323,0.708333333,0,24,360,135,0,5,0.00001,135,63,168,22680,22680,0,0,0,0
44938,45626,689,366,323,0.708333333,3,1,60,60,0,5,0.00001,332,17,17,1020,1020,0,0,0,0
44938,45626,689,366,323,0.708333333,3,1,85,85,0,5,0.00001,332,17,17,1445,1445,0,0,0,0
44938,45626,689,366,323,0.708333333,3,1,110,60,0,5,0.00001,332,12,22,1320,1320,0,0,0,0
44938,45626,689,366,323,0.708333333,3,3,310,35,0,5,0.00001,297,7,62,2170,2170,0,0,0,0
44938,45626,689,366,323,0.708333333,3,6,110,110,1,5,0.00001,194,86,86,9460,9460,0,0,0,0
44938,45626,689,366,323,0.708333333,3,6,135,135,1,5,0.00001,194,86,86,11610,11610,0,0,0,0
44938,45626,689,366,323,0.708333333,3,6,210,335,0,5,0.00001,257,67,42,14070,14070,0,0,0,0
44938,45626,689,366,323,0.708333333,3,6,285,260,0,5,0.00001,257,52,57,14820,14820,0,0,0,0
44938,45626,689,366,323,0.708333333,3,12,210,360,1,5,0.00001,138,144,84,30240,30240,0,0,0,0
