fecha_inicio,fecha_fin,dias_evaluados,hora_apertura,v_rango,v_espera,TP_Ticks,SL_ticks,Tipo_vela_rompimiento,duracion_vela,tick_size,dias_sin_entrada,TPs_alcanzados,SLs_alcanzados,Ticks_totales_TPs,Ticks_totales_SLs,Ticks_totales_estrategia,Margen_Utilidad
44938,45626,366,16:00,24,3,235,35,0,5,0.00001,293,3,70,705,2450,-1745,247.52
44938,45626,366,14:00,12,3,185,35,0,5,0.00001,308,3,55,555,1925,-1370,246.85
44938,45626,366,13:00,24,3,185,60,0,5,0.00001,331,3,32,555,1920,-1365,245.95
44938,45626,366,13:00,24,3,185,160,0,5,0.00001,331,7,28,1295,4480,-3185,245.95
44938,45626,366,09:00,24,3,35,360,1,5,0.00001,293,71,2,2485,720,1765,245.14
44938,45626,366,16:00,24,3,360,35,0,5,0.00001,293,2,71,720,2485,-1765,245.14
44938,45626,366,15:00,18,3,235,60,0,5,0.00001,337,2,27,470,1620,-1150,244.68
44938,45626,366,13:00,24,3,360,160,0,5,0.00001,331,4,31,1440,4960,-3520,244.44
44938,45626,366,21:00,24,1,210,85,0,5,0.00001,347,2,17,420,1445,-1025,244.05
44938,45626,366,14:00,12,3,285,35,0,5,0.00001,308,2,56,570,1960,-1390,243.86
44938,45626,366,15:00,18,3,285,60,1,5,0.00001,314,3,49,855,2940,-2085,243.86
44938,45626,366,15:00,12,6,260,35,0,5,0.00001,313,2,51,520,1785,-1265,243.27
44938,45626,366,13:00,6,3,35,285,0,5,0.00001,251,111,4,3885,1140,2745,240.79
44938,45626,366,23:00,18,1,35,185,0,5,0.00001,328,36,2,1260,370,890,240.54
44938,45626,366,14:00,24,3,185,35,0,5,0.00001,347,1,18,185,630,-445,240.54
44938,45626,366,04:00,12,3,310,35,0,5,0.00001,304,2,60,620,2100,-1480,238.71
44938,45626,366,13:00,24,6,310,35,0,5,0.00001,304,2,60,620,2100,-1480,238.71
44938,45626,366,14:00,24,6,310,35,0,5,0.00001,335,1,30,310,1050,-740,238.71
44938,45626,366,17:00,24,1,285,35,0,5,0.00001,309,2,55,570,1925,-1355,237.72
44938,45626,366,13:00,24,3,160,160,0,5,0.00001,331,8,27,1280,4320,-3040,237.5
44938,45626,366,13:00,24,3,310,135,0,5,0.00001,331,4,31,1240,4185,-2945,237.5
44938,45626,366,13:00,24,3,285,160,0,5,0.00001,331,5,30,1425,4800,-3375,236.84
44938,45626,366,15:00,18,3,260,35,1,5,0.00001,314,2,50,520,1750,-1230,236.54
44938,45626,366,21:00,24,1,135,85,0,5,0.00001,347,3,16,405,1360,-955,235.8
44938,45626,366,15:00,12,3,185,60,0,5,0.00001,332,3,31,555,1860,-1305,235.14
44938,45626,366,17:00,0,1,185,85,0,5,0.00001,308,7,51,1295,4335,-3040,234.75
44938,45626,366,14:00,24,6,260,60,0,5,0.00001,335,2,29,520,1740,-1220,234.62
44938,45626,366,21:00,24,1,335,210,0,5,0.00001,347,3,16,1005,3360,-2355,234.33
44938,45626,366,16:00,12,3,335,60,0,5,0.00001,307,3,56,1005,3360,-2355,234.33
44938,45626,366,19:00,24,3,210,35,0,5,0.00001,303,3,60,630,2100,-1470,233.33
44938,45626,366,02:00,6,3,35,210,0,5,0.00001,240,120,6,4200,1260,2940,233.33
44938,45626,366,19:00,24,6,185,35,0,5,0.00001,273,5,88,925,3080,-2155,232.97
44938,45626,366,19:00,24,6,235,35,0,5,0.00001,273,4,89,940,3115,-2175,231.38
44938,45626,366,16:00,12,3,360,135,0,5,0.00001,307,6,53,2160,7155,-4995,231.25
44938,45626,366,11:00,24,3,35,310,1,5,0.00001,275,88,3,3080,930,2150,231.18
44938,45626,366,08:00,12,3,35,335,0,5,0.00001,268,95,3,3325,1005,2320,230.85
44938,45626,366,17:00,6,1,110,160,0,5,0.00001,337,24,5,2640,800,1840,230
44938,45626,366,22:00,18,1,310,160,0,5,0.00001,339,17,10,5270,1600,3670,229.38
44938,45626,366,13:00,24,3,235,160,0,5,0.00001,331,6,29,1410,4640,-3230,229.08
44938,45626,366,21:00,24,1,285,110,0,5,0.00001,347,2,17,570,1870,-1300,228.07
44938,45626,366,13:00,24,6,210,35,0,5,0.00001,304,3,59,630,2065,-1435,227.78
44938,45626,366,03:00,24,3,235,35,0,5,0.00001,320,2,44,470,1540,-1070,227.66
44938,45626,366,19:00,12,1,35,310,0,5,0.00001,336,29,1,1015,310,705,227.42
44938,45626,366,21:00,3,1,310,35,0,5,0.00001,306,2,58,620,2030,-1410,227.42
44938,45626,366,22:00,12,1,310,35,0,5,0.00001,336,1,29,310,1015,-705,227.42
44938,45626,366,14:00,18,3,310,35,0,5,0.00001,306,2,58,620,2030,-1410,227.42
